"rule","level","file","line","msg"
"yaml.github-actions.security.run-shell-injection.run-shell-injection","error",".github\workflows\blue-green-deployment.yml","328","Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
"yaml.github-actions.security.run-shell-injection.run-shell-injection","error",".github\workflows\blue-green-deployment.yml","443","Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
"yaml.github-actions.security.run-shell-injection.run-shell-injection","error",".github\workflows\hybrid-production-audit.yml","34","Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
"javascript.lang.security.detect-child-process.detect-child-process","error","apps\backend\editor-runtime\karank-bridge.mjs","136","Detected calls to child_process from a function argument `candidate`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
"configs.http-without-tls","warning","apps\backend\editor-runtime\karank_engine\engine\ts_bridge.py","26","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.insecure-random","warning","apps\backend\editor-runtime\lib\utils.mjs","167","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"javascript.express.security.cors-misconfiguration.cors-misconfiguration","warning","apps\backend\editor-runtime\middlewares\cors.mjs","27","By letting user input control CORS parameters, there is a risk that software does not properly verify that the source of data or communication is valid. Use literal values for CORS settings."
"configs.insecure-random","warning","apps\backend\editor-runtime\services\import-pipeline.mjs","191","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret","warning","apps\backend\src\__tests__\unit\jwt-secret-manager.test.ts","56","A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module)."
"javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret","warning","apps\backend\src\__tests__\unit\jwt-secret-manager.test.ts","68","A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module)."
"javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret","warning","apps\backend\src\__tests__\unit\jwt-secret-manager.test.ts","81","A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module)."
"javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret","warning","apps\backend\src\__tests__\unit\jwt-secret-manager.test.ts","82","A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module)."
"javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret","warning","apps\backend\src\__tests__\unit\jwt-secret-manager.test.ts","98","A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module)."
"javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret","warning","apps\backend\src\__tests__\unit\jwt-secret-manager.test.ts","113","A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module)."
